"7012","LE PIAN MEDOC","33290"
"7013","POMPEJAC","33730"
"7014","ST CIERS DE CANESSE","33710"
"7015","STE GEMME","33580"
"7016","ST HIPPOLYTE","33330"
"7017","ST LAURENT MEDOC","33112"
"7018","ST PHILIPPE DU SEIGNAL","33220"
"7019","ST SEURIN DE CURSAC","33390"
"7020","ST SULPICE DE FALEYRENS","33330"
"7021","ST VIVIEN DE BLAYE","33920"
"7022","SAUCATS","33650"
"7023","SAUMOS","33680"
"7024","TEUILLAC","33710"
"7601","SALLES","33770"
"8190","AMBES","33810"
"8191","BORDEAUX","33000"
"8192","CARDAN","33410"
"8193","GAURIAC","33710"
"8194","GUJAN MESTRAS","33470"
"8195","LAPOUYADE","33620"
"8196","LAVAZAN","33690"
"8197","LIGUEUX","33220"
"8198","MONGAUZY","33190"
"8199","MOULON","33420"
"8200","ST GERVAIS","33240"
"8503","CAMPUGNAN","33390"
"8504","CASTETS EN DORTHE","33210"
"8505","COMPS","33710"
"8506","COURS DE MONSEGUR","33580"
"8507","ESPIET","33420"
"8508","LES ESSEINTES","33190"
"8509","MARIMBAULT","33430"
"8510","NAUJAN ET POSTIAC","33420"
"8511","PODENSAC","33720"
"8512","PONDAURAT","33190"
"8513","QUINSAC","33360"
"8514","ROMAGNE","33760"
"8515","LA ROQUILLE","33220"
"8516","STE FLORENCE","33350"
"8517","ST HILAIRE DE LA NOAILLE","33190"
"8518","ST JULIEN BEYCHEVELLE","33250"
"8519","ST PIERRE DE MONS","33210"
"8520","STE RADEGONDE","33350"
"8521","LE TEMPLE","33680"
"8522","VILLENAVE D ORNON","33140"
"8798","AINAY LE CHATEAU","3360"
"8800","CHATEAU SUR ALLIER","3320"
"8891","LE TOURNE","33550"
"10491","COULEUVRE","3320"
"10499","THENEUILLE","3350"
"10600","MOLLES","3300"
"10901","ST MICHEL DE RIEUFRET","33720"
"10902","ST QUENTIN DE BARON","33750"
"11258","BLOMARD","3390"
"11261","CREUZIER LE VIEUX","3300"
"11262","ECHASSIERES","3330"
"11266","ST GERAND DE VAUX","3340"
"11267","ST MARCEL EN MURAT","3390"
"11268","ST PALAIS","3370"
"11503","MESPLES","3370"
"11648","BELVES DE CASTILLON","33350"
"11649","BERNOS BEAULAC","33430"
"11650","BERTHEZ","33124"
"11651","BIEUJAC","33210"
"11652","LES BILLAUX","33500"
"11653","BRANNE","33420"
"11654","CANEJAN","33610"
"11655","CIVRAC EN MEDOC","33340"
"11656","ESCAUDES","33840"
"11657","GOUALADE","33840"
"11658","GOURS","33660"
"11659","LES LEVES ET THOUMEYRAGUES","33220"
"11660","LUGASSON","33760"
"11661","MADIRAC","33670"
"11662","MARSAS","33620"
"11663","NOAILLAC","33190"
"11664","PEUJARD","33240"
"11665","SADIRAC","33670"
"11666","ST LEGER DE BALSON","33113"
"11700","CREUZIER LE NEUF","3300"
"12625","LA FERTE HAUTERIVE","3340"
"12947","CHAPPES","3390"
"12949","MONTMARAULT","3390"
"12950","SAZERET","3390"
"12954","VITRAY","3360"
"13039","ARTIGUES PRES BORDEAUX","33370"
"13040","BAZAS","33430"
"13041","BIGANOS","33380"
"13042","CADARSAC","33750"
"13043","CARS","33390"
"13044","CROIGNON","33750"
"13045","FALEYRAS","33760"
"13046","HURE","33190"
"13047","LA BREDE","33650"
"13048","LANDERROUET SUR SEGUR","33540"
"13049","LUGAIGNAC","33420"
"13050","MARTRES","33760"
"13051","MOMBRIER","33710"
"13052","MORIZES","33190"
"13053","MOURENS","33410"
"13054","PRIGNAC EN MEDOC","33340"
"13055","REIGNAC","33860"
"13056","SABLONS","33910"
"13057","ST AVIT DE SOULEGE","33220"
"13058","ST CIERS D ABZAC","33910"
"13059","STE CROIX DU MONT","33410"
"13060","ST MARTIN DE SESCAS","33490"
"13061","ST PALAIS","33820"
"13062","ST SULPICE DE GUILLERAGUES","33580"
"13063","ST YZAN DE SOUDIAC","33920"
"13064","SAUGON","33920"
"13065","SAUTERNES","33210"
"13066","TAYAC","33570"
"13301","NERIS LES BAINS","3310"
"13464","SEMENS","33490"
"14040","TREIGNAT","3380"
"14041","LE VEURDRE","3320"
"14402","DURDAT LAREQUILLE","3310"
"14406","NEUILLY LE REAL","3340"
"14409","ST PRIEST EN MURAT","3390"
"15418","FOUGUEYROLLES","33220"
"15540","COURCAIS","3370"
"15544","ST BONNET TRONCAIS","3360"
"15547","LE VILHAIN","3350"
"16177","BLASIMON","33540"
"16178","CAMARSAC","33750"
"16179","CASTELNAU DE MEDOC","33480"
"16180","CASTILLON LA BATAILLE","33350"
"16181","CISSAC MEDOC","33250"
"16182","COIRAC","33540"
"16183","GREZILLAC","33420"
"16184","LE HAILLAN","33185"
"16185","LEOGEATS","33210"
"16186","LOUBENS","33190"
"16187","LUGON ET L ILE DU CARNAY","33240"
"16188","MOUILLAC","33240"
"16189","NEUFFONS","33580"
"16190","LE PIAN SUR GARONNE","33490"
"16191","PUYNORMAND","33660"
"16192","ST GENES DE CASTILLON","33350"
"16193","ST MAIXANT","33490"
"16194","ST MICHEL DE CASTELNAU","33840"
"16195","ST MICHEL DE FRONSAC","33126"
"16196","ST QUENTIN DE CAPLONG","33220"
"16197","ST SEURIN DE BOURG","33710"
"16198","STE TERRE","33350"
"16199","SAUVIAC","33430"
"16200","LE VERDON SUR MER","33123"
"16256","AUROS","33124"
"16257","BELLEBAT","33760"
"16258","BIRAC","33430"
"16259","BLANQUEFORT","33290"
"16260","BORDEAUX","33100"
"16261","BOULIAC","33270"
"16262","CAUMONT","33540"
"16263","COUTRAS","33230"
"16264","DAIGNAC","33420"
"16265","LES EGLISOTTES ET CHALAURES","33230"
"16266","FRANCS","33570"
"16267","FRONSAC","33126"
"16268","GISCOS","33840"
"16269","JUGAZAN","33420"
"16270","LEGE CAP FERRET","33970"
"16271","LUGOS","33830"
"16272","MONTIGNAC","33760"
"16273","POMEROL","33500"
"16274","ST ANTOINE","33240"
"16275","ST CHRISTOLY DE BLAYE","33920"
"16276","ST MAGNE","33125"
"16277","ST PHILIPPE D AIGUILLE","33350"
"16278","SAUVETERRE DE GUYENNE","33540"
"17636","CARCANS","33121"
"17637","CERONS","33720"
"17638","LADOS","33124"
"17639","LANTON","33138"
"17640","PESSAC","33600"
"17641","ST LAURENT D ARCE","33240"
"17642","VIRELADE","33720"
"17713","PORT STE FOY ET PONCHAPT","33220"
"17798","ANDERNOS LES BAINS","33510"
"17799","BARON","33750"
"17800","BORDEAUX","33200"
"18078","LE BRETHON","3350"
"18082","CUSSET","3300"
"18085","QUINSSAINES","3380"
"18780","HURIEL","3380"
"18782","LAMAIDS","3380"
"18785","ST ETIENNE DE VICQ","3300"
"19196","VERTHEUIL","33180"
"19432","LOUROUX BOURBONNAIS","3350"
"19433","ST ELOY D ALLIER","3370"
"20185","BESSAY SUR ALLIER","3340"
"20194","VALIGNY","3360"
"20196","VILLEBRET","3310"
"20315","BAIGNEAUX","33760"
"20316","BARSAC","33720"
"20317","BOURG","33710"
"20318","LE BOUSCAT","33110"
"20319","CAMPS SUR L ISLE","33660"
"20320","DIEULIVOL","33580"
"20321","FARGUES","33210"
"20322","JUILLAC","33890"
"20323","MARIONS","33690"
"20324","PAILLET","33550"
"20325","ST ANDRONY","33390"
"20326","ST CAPRAIS DE BORDEAUX","33880"
"20327","ST MAGNE DE CASTILLON","33350"
"20328","TIZAC DE LAPOUYADE","33620"
"20458","BOST","3300"
